fips_code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,2023 Rural-urban Continuum Code,2024 Urban Influence Code,"Bachelor's degree or higher, 1990","Bachelor's degree or higher, 2000","Bachelor's degree or higher, 2008-12","Bachelor's degree or higher, 2019-23","Four years of college or higher, 1970","Four years of college or higher, 1980","High school diploma only, 1970","High school diploma only, 1980","High school graduate (or equivalency), 1990","High school graduate (or equivalency), 2000","High school graduate (or equivalency), 2008-12","High school graduate (or equivalency), 2019-23","Less than a high school diploma, 1970","Less than a high school diploma, 1980","Less than high school graduate, 1990","Less than high school graduate, 2000","Less than high school graduate, 2008-12","Less than high school graduate, 2019-23","Percent of adults completing four years of college or higher, 1970","Percent of adults completing four years of college or higher, 1980","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing some college or associate degree, 1990","Percent of adults completing some college or associate degree, 2000","Percent of adults completing some college or associate degree, 2008-12","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 1990","Percent of adults who are high school graduates (or equivalent), 2000","Percent of adults who are high school graduates (or equivalent), 2008-12","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 1990","Percent of adults who are not high school graduates, 2000","Percent of adults who are not high school graduates, 2008-12","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a bachelor's degree or higher, 2008-12","Percent of adults with a bachelor's degree or higher, 2019-23","Percent of adults with a high school diploma only, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults with less than a high school diploma, 1970","Percent of adults with less than a high school diploma, 1980","Some college (1-3 years), 1970","Some college (1-3 years), 1980","Some college or associate degree, 1990","Some college or associate degree, 2000","Some college or associate degree, 2008-12","Some college or associate degree, 2019-23"
18151,7,8,7,7,2154,3288,4479,5864,932,1389,4479,6939,7587,9099,9198,8861,3942,4007,3624,3321,2480,1871,8.8,9.7,11.9,13.4,22.5,25.8,28.83946267,30.16621081,44,43,40.51090068,37.28592468,21,15.7,10.92270425,7.872922365,12.5,15.5,19.72693239,24.67494214,42.2,48.7,37.1,28.1,1261,1916,3891,5462,6548,7169
18153,3,2,3,4,1258,1387,2007,2163,499,1026,4460,6043,5767,6569,6330,6374,6380,4911,3268,2832,2228,1802,4.1,7.8,6.6,9.1,18.3,27,29.72127985,31.69716588,45.8,44.4,42.1073638,42.10874017,25.9,19.2,14.82072773,11.90460461,10,9.4,13.35062862,14.28948933,36.8,45.8,52.6,37.3,797,1200,2309,3994,4468,4798
18155,8,4,8,3,283,449,652,683,142,241,1007,1667,2264,2617,3135,3213,2453,2101,1715,1685,1496,1203,3.8,5.6,3.8,6.5,15,19.3,24.60396746,25.37684765,45.1,44.4,44.74097331,47.02180594,34.2,28.6,21.35007849,17.60573687,5.6,7.6,9.304980734,9.995609542,26.9,38.9,65.5,49,142,280,753,1138,1724,1734
18157,3,2,3,4,21217,26496,33748,41954,10384,15141,17958,22199,21920,24386,26894,28465,16262,13764,10249,9751,8924,8429,20.6,25.5,11.5,13.9,22.8,24.1,26.41399664,24.70372528,31.7,30.5,28.44812084,27.18278789,14.8,12.2,9.43969028,8.049313865,30.7,33.2,35.69819224,40.06417296,35.6,37.4,32.3,23.2,5807,8217,15762,19278,24971,25869
18159,6,4,1,1,1033,1400,1748,2745,550,821,3765,4969,4802,5439,4815,4098,4227,3238,2414,1837,1240,912,5.9,8.2,7.7,9.6,21.5,22.9,30.18074445,29.70449601,45.7,48.4,43.08339298,37.14648296,23,16.3,11.09520401,8.266860044,9.8,12.4,15.64065855,24.88216099,40.7,49.8,45.7,32.4,715,954,2262,2571,3373,3277
18161,1,1,8,3,371,530,918,1035,189,355,1402,1717,1913,2180,1961,1811,1768,1495,1264,961,736,510,5.3,9,6.1,9.8,19.3,23.3,28.24533545,33.2670511,43.5,45.6,38.92417626,36.01113541,28.7,20.1,14.60897181,10.14118115,8.4,11.1,18.22151647,20.58063233,39.2,43.4,49.4,37.8,217,388,849,1113,1423,1673
18163,2,2,2,4,17473,21674,26115,33451,8501,12730,33212,39778,39349,40026,41404,40204,44379,36395,27081,18935,13573,10657,9,12.5,9.3,12.6,23.2,28.1,31.83999731,31.74001749,36,35.7,34.80117338,32.5496292,24.8,16.9,11.40847083,8.628031996,16,19.3,21.95035848,27.08232132,35,39.1,46.7,35.8,8866,12808,25314,31543,37881,39204
18165,3,2,3,4,867,1279,1570,1865,365,877,3452,4997,4961,5158,4999,4686,5732,4452,3119,2144,1419,802,3.6,7.8,5.6,8.4,19.9,24.8,29.25338765,32.21167143,44.4,45.2,44.27420069,43.20088504,27.9,18.8,12.56753166,7.393749424,7.8,11.2,13.90487999,17.19369411,34.1,44.3,56.7,39.5,563,942,2216,2829,3303,3494
18167,3,2,3,4,11944,14267,14773,17701,6094,10465,20215,25080,23966,23226,23970,22963,29461,20378,15884,12655,9516,6560,10,16.3,8.7,13.1,21.7,24.8,30.25551348,30.97823704,36.2,34.8,34.64173194,33.56231456,24,19,13.75263751,9.587979947,18.1,21.4,21.35011706,25.87146845,33.1,39,48.2,31.7,5335,8455,14346,16566,20935,21195
18169,6,5,6,5,2573,3127,3534,4673,1293,2450,7739,9286,9818,10467,9599,9081,8016,6839,5637,4153,3137,1771,6.9,11.8,9.1,10.3,18.1,22,26.25328619,28.23464152,44.6,46,43.50920134,41.97753432,25.6,18.3,14.21901913,8.186566819,11.7,13.7,16.01849334,21.60125734,41.3,44.8,42.7,33,1709,2132,3980,4997,5792,6108
