fips_code,CI90LB017P_2023,CI90LB017_2023,CI90LB04P_2023,CI90LB04_2023,CI90LB517P_2023,CI90LB517_2023,CI90LBALLP_2023,CI90LBALL_2023,CI90LBINC_2023,CI90UB017P_2023,CI90UB017_2023,CI90UB04P_2023,CI90UB04_2023,CI90UB517P_2023,CI90UB517_2023,CI90UBALLP_2023,CI90UBALL_2023,CI90UBINC_2023,MEDHHINC_2023,PCTPOV017_2023,PCTPOV04_2023,PCTPOV517_2023,PCTPOVALL_2023,POV017_2023,POV04_2023,POV517_2023,POVALL_2023,Rural_Urban_Continuum_Code_2023
1131,33.8,731,,,32.3,512,25.2,2460,30218,63.2,1367,,,63.5,1004,40.2,3928,38634,34426,48.5,,47.9,32.7,1049,,758,3194,9
1133,17.6,827,,,16.1,567,13.3,3091,45967,30.4,1433,,,29.3,1035,19.9,4619,58593,52280,24,,22.7,16.6,1130,,801,3855,8
12000,15.4,663989,16,175337,14.5,465979,12.2,2696849,72710,16.6,715945,17.8,194517,16.1,514591,12.6,2786123,73856,73283,16,16.9,15.3,12.4,689967,184927,490285,2741486,
12001,12.9,6475,,,12.4,4593,16.3,43744,57378,22.1,11019,,,21.8,8015,20.7,55304,66308,61843,17.5,,17.1,18.5,8747,,6304,49524,2
12003,13.2,914,,,12.5,640,9.4,2495,62443,25.4,1760,,,25.3,1294,15.6,4161,76355,69399,19.3,,18.9,12.5,1337,,967,3328,1
12005,11.2,4413,,,10.1,2921,9.9,18498,67718,20,7901,,,19.9,5763,13.7,25548,74000,70859,15.6,,15,11.8,6157,,4342,22023,3
12007,14.9,862,,,13.2,562,11.8,2970,53234,29.1,1684,,,28,1194,19,4772,65702,59468,22,,20.6,15.4,1273,,878,3871,6
12009,11.6,13152,,,10.9,9362,8.9,56754,74857,18.4,20844,,,17.9,15420,11.7,74526,81065,77961,15,,14.4,10.3,16998,,12391,65640,2
12011,13.5,53585,,,12.1,35576,11.7,229020,72591,18.3,72575,,,17.5,51746,13.7,266578,76143,74367,15.9,,14.8,12.7,63080,,43661,247799,1
12013,18.4,490,,,16.4,331,18.5,2193,42034,35,932,,,33.4,671,27.3,3233,53012,47523,26.7,,24.9,22.9,711,,501,2713,8
12015,9.3,2193,,,8.3,1505,7.6,15528,67559,17.7,4201,,,16.9,3091,10.6,21454,75203,71381,13.5,,12.6,9.1,3197,,2298,18491,3
12017,15.6,3725,,,14,2538,13.5,22128,51190,27,6459,,,25.8,4694,17.9,29222,57704,54447,21.3,,19.9,15.7,5092,,3616,25675,3
12019,7.5,3895,,,6.9,2755,6.5,14977,77320,13.5,7011,,,12.9,5191,9.3,21419,87178,82249,10.5,,9.9,7.9,5453,,3973,18198,1
12021,12.8,8160,,,13.9,6563,9.5,37998,86283,18.6,11842,,,19.7,9359,11.5,45998,96521,91402,15.7,,16.8,10.5,10001,,7961,41998,2
12023,15.2,2391,,,13.9,1641,13.6,9398,53525,28.4,4465,,,27.3,3233,20.4,14032,64373,58949,21.8,,20.6,17,3428,,2437,11715,4
12027,17.7,1123,,,17.7,791,14.4,4792,49080,34.7,2191,,,36.3,1621,23.2,7716,59496,54288,26.2,,27,18.8,1657,,1206,6254,6
12029,23.5,733,,,22.3,517,18.6,2941,45010,41.9,1309,,,41.1,957,28.8,4555,56922,50966,32.7,,31.7,23.7,1021,,737,3748,8
12031,15.7,35553,,,14.7,23987,13.4,134857,66883,21.3,48069,,,20.9,34185,15.6,157229,72027,69455,18.5,,17.8,14.5,41811,,29086,146043,1
12033,15.8,10576,,,15.5,7522,11.5,35588,68009,26.2,17540,,,26.1,12710,16.5,50980,73667,70838,21,,20.8,14,14058,,10116,43284,2
