fips_code,Civilian_labor_force_2023,Employed_2023,Metro_2023,Rural_Urban_Continuum_Code_2023,Unemployed_2023,Unemployment_rate_2023
18000,3401387,3288017,,,113370,3.3
18001,16809,16352,0,6,457,2.7
18003,189514,183577,1,2,5937,3.1
18005,44070,42843,1,3,1227,2.8
18007,4527,4409,1,3,118,2.6
18009,4795,4605,0,6,190,4
18011,38693,37724,1,1,969,2.5
18013,7919,7661,1,1,258,3.3
18015,10171,9873,1,3,298,2.9
18017,17431,16780,0,4,651,3.7
18019,63165,61228,1,1,1937,3.1
18021,11589,11192,1,3,397,3.4
18023,17583,17124,0,6,459,2.6
18025,4814,4643,0,8,171,3.6
18027,16995,16594,0,7,401,2.4
18029,26168,25315,1,1,853,3.3
18031,14587,14192,0,6,395,2.7
18033,22199,21544,0,4,655,3
18035,51390,49419,1,3,1971,3.8
18037,21994,21444,0,5,550,2.5
18039,110513,106100,1,3,4413,4
18041,8330,7965,0,6,365,4.4
18043,42544,41356,1,1,1188,2.8
18045,8095,7846,0,8,249,3.1
18047,11306,10950,1,1,356,3.1
18049,9537,9204,0,7,333,3.5
18051,19625,19152,0,6,473,2.4
18053,31150,30066,0,4,1084,3.5
18055,13525,12996,0,6,529,3.9
18057,197462,192441,1,1,5021,2.5
18059,43197,41987,1,1,1210,2.8
18061,20617,20030,1,1,587,2.8
18063,96080,93528,1,1,2552,2.7
18065,22242,21483,0,6,759,3.4
18067,33780,32090,1,3,1690,5
18069,18316,17771,0,6,545,3
18071,22875,22225,0,4,650,2.8
18073,16082,15507,1,1,575,3.6
18075,8921,8648,0,6,273,3.1
18077,15064,14597,0,6,467,3.1
18079,13570,13113,0,6,457,3.4
18081,87829,85481,1,1,2348,2.7
18083,17939,17404,0,7,535,3
18085,40657,39287,0,4,1370,3.4
18087,21002,20352,0,8,650,3.1
18089,228991,217531,1,1,11460,5
18091,47678,45780,1,3,1898,4
18093,20095,19325,0,6,770,3.8
18095,60874,58699,1,1,2175,3.6
18097,511700,494846,1,1,16854,3.3
18099,23474,22677,0,6,797,3.4
18101,5315,5164,0,9,151,2.8
18103,14443,13875,0,6,568,3.9
18105,70790,68480,1,3,2310,3.3
18107,18930,18404,0,6,526,2.8
18109,37754,36611,1,1,1143,3
18111,6825,6560,1,1,265,3.9
18113,22386,21565,0,6,821,3.7
18115,3234,3138,1,1,96,3
18117,8283,7999,0,8,284,3.4
18119,9366,9022,1,3,344,3.7
18121,7276,7039,0,8,237,3.3
18123,9100,8830,0,7,270,3
18125,5849,5658,0,8,191,3.3
18127,86290,83108,1,1,3182,3.7
18129,13044,12691,1,2,353,2.7
18131,6833,6636,0,8,197,2.9
18133,17090,16550,0,6,540,3.2
18135,11701,11321,0,6,380,3.2
18137,12664,12223,0,6,441,3.5
18139,9020,8773,0,6,247,2.7
18141,132300,127174,1,2,5126,3.9
18143,10616,10248,0,6,368,3.5
18145,23965,23305,1,1,660,2.8
18147,10715,10399,0,8,316,2.9
18149,9673,9274,0,8,399,4.1
18151,20823,20263,0,7,560,2.7
18153,7964,7664,1,3,300,3.8
18155,4713,4560,0,8,153,3.2
18157,99118,96206,1,3,2912,2.9
18159,9014,8747,1,1,267,3
18161,3624,3518,0,8,106,2.9
18163,92142,89226,1,2,2916,3.2
18165,6585,6313,1,3,272,4.1
18167,45640,43913,1,3,1727,3.8
18169,14936,14476,0,6,460,3.1
18171,4146,4024,1,3,122,2.9
18173,32342,31393,1,2,949,2.9
18175,13956,13530,1,1,426,3.1
18177,29586,28566,0,5,1020,3.4
18179,14424,14036,1,2,388,2.7
18181,13505,13143,0,6,362,2.7
18183,17928,17436,1,2,492,2.7
19000,1709402,1659106,,,50296,2.9
19001,4415,4310,0,8,105,2.4
19003,2054,2008,0,9,46,2.2
19005,7108,6835,0,8,273,3.8
19007,6028,5831,0,7,197,3.3
19009,3166,3095,0,9,71,2.2
19011,12997,12565,1,2,432,3.3
19013,67072,64918,1,3,2154,3.2
19015,14968,14597,1,3,371,2.5
19017,13877,13528,1,3,349,2.5
19019,11223,10895,0,6,328,2.9
19021,12156,11869,0,7,287,2.4
19023,8170,7918,0,8,252,3.1
19025,4150,4037,0,9,113,2.7
19027,10534,10286,0,7,248,2.4
19029,6919,6734,0,6,185,2.7
19031,10486,10174,0,8,312,3
19033,22175,21495,0,5,680,3.1
19035,6110,5959,0,9,151,2.5
19037,6556,6393,0,8,163,2.5
19039,5042,4898,0,6,144,2.9
19041,8577,8329,0,7,248,2.9
19043,9557,9177,0,8,380,4
19045,21868,21048,0,4,820,3.7
19047,7794,7420,0,7,374,4.8
19049,54766,53556,1,2,1210,2.2
19051,4332,4226,0,9,106,2.4
19053,4334,4228,0,9,106,2.4
19055,10407,10134,0,8,273,2.6
19057,17927,17181,0,5,746,4.2
19059,10669,10360,0,7,309,2.9
19061,55798,54177,1,3,1621,2.9
19063,4810,4659,0,7,151,3.1
19065,10518,10179,0,6,339,3.2
19067,8380,8098,0,7,282,3.4
19069,5703,5545,0,9,158,2.8
19071,3690,3605,0,8,85,2.3
19073,5297,5178,0,8,119,2.2
19075,6382,6204,1,3,178,2.8
19077,5749,5578,1,2,171,3
19079,6998,6807,0,6,191,2.7
19081,5637,5481,0,9,156,2.8
19083,7904,7660,0,6,244,3.1
19085,7182,6987,1,2,195,2.7
19087,9173,8870,0,6,303,3.3
19089,5302,5133,0,8,169,3.2
19091,4980,4847,0,7,133,2.7
19093,3919,3837,0,8,82,2.1
19095,9907,9633,0,8,274,2.8
19097,10591,10223,0,6,368,3.5
19099,18653,18086,1,2,567,3
19101,10133,9861,0,7,272,2.7
19103,86703,84619,1,3,2084,2.4
19105,10330,9967,1,2,363,3.5
19107,5266,5094,0,8,172,3.3
19109,8248,8043,0,7,205,2.5
19111,14604,14005,0,7,599,4.1
19113,119470,115327,1,2,4143,3.5
19115,5961,5769,0,8,192,3.2
19117,4478,4369,0,8,109,2.4
19119,7209,7066,0,8,143,2
19121,8924,8615,1,2,309,3.5
19123,12201,11884,0,7,317,2.6
19125,19395,18962,0,6,433,2.2
19127,17428,16322,0,4,1106,6.3
19129,7168,6978,1,2,190,2.7
19131,5836,5704,0,9,132,2.3
19133,4396,4273,0,8,123,2.8
19135,4171,4056,0,9,115,2.8
19137,4996,4864,0,6,132,2.6
19139,20636,19980,0,4,656,3.2
19141,8237,8040,0,7,197,2.4
19143,3648,3578,0,9,70,1.9
19145,6570,6400,0,6,170,2.6
19147,4481,4368,0,9,113,2.5
19149,14842,14529,0,6,313,2.1
19151,3996,3904,0,9,92,2.3
19153,280238,272194,1,2,8044,2.9
19155,47918,46534,1,2,1384,2.9
19157,10292,9991,0,6,301,2.9
19159,2349,2297,0,9,52,2.2
19161,5305,5178,0,9,127,2.4
19163,87630,84595,1,2,3035,3.5
19165,6446,6289,0,8,157,2.4
19167,23233,22796,0,6,437,1.9
19169,59645,58367,1,3,1278,2.1
19171,9237,8874,0,6,363,3.9
19173,3146,3076,0,9,70,2.2
19175,5959,5779,0,6,180,3
19177,3662,3550,0,9,112,3.1
19179,16714,16132,0,5,582,3.5
19181,29739,28966,1,2,773,2.6
19183,11794,11487,1,3,307,2.6
19185,3017,2928,0,9,89,2.9
19187,18643,18062,0,5,581,3.1
19189,4922,4735,0,9,187,3.8
19191,11600,11227,0,7,373,3.2
19193,55965,54358,1,3,1607,2.9
19195,4027,3908,0,9,119,3
19197,6588,6418,0,9,170,2.6
2000,357094,342005,,,15089,4.2
20000,1510988,1470936,,,40052,2.7
20001,6114,5942,0,7,172,2.8
20003,4409,4316,0,8,93,2.1
20005,6752,6525,0,6,227,3.4
20007,2259,2204,0,9,55,2.4
20009,12792,12451,0,7,341,2.7
20011,6204,5993,0,6,211,3.4
20013,4577,4448,0,8,129,2.8
20015,33100,32218,1,2,882,2.7
20017,1238,1209,0,8,29,2.3
20019,1385,1346,0,9,39,2.8
20021,10012,9743,1,3,269,2.7
20023,1219,1188,0,9,31,2.5
20025,1104,1082,0,9,22,2
20027,3691,3597,0,8,94,2.5
20029,3712,3609,0,7,103,2.8
20031,3672,3551,0,8,121,3.3
20033,857,835,0,9,22,2.6
20035,16200,15715,0,4,485,3
20037,19102,18559,0,4,543,2.8
20039,1178,1144,0,9,34,2.9
20041,8619,8374,0,6,245,2.8
20043,4027,3926,1,3,101,2.5
20045,66580,64860,1,3,1720,2.6
20047,1365,1333,0,9,32,2.3
20049,1169,1140,0,8,29,2.5
20051,17173,16842,0,5,331,1.9
20053,2551,2491,0,9,60,2.4
20055,20564,20139,0,5,425,2.1
20057,17709,17331,0,5,378,2.1
20059,14998,14621,0,6,377,2.5
20061,11099,10673,1,3,426,3.8
20063,1306,1276,0,9,30,2.3
20065,1153,1123,0,9,30,2.6
20067,2798,2722,0,7,76,2.7
20069,3172,3109,0,9,63,2
20071,765,751,0,9,14,1.8
20073,3021,2938,0,8,83,2.7
20075,1619,1590,0,9,29,1.8
20077,2797,2732,0,8,65,2.3
20079,17372,16866,1,2,506,2.9
20081,2115,2073,0,9,42,2
20083,988,966,0,9,22,2.2
20085,7361,7189,1,3,172,2.3
20087,10454,10195,1,3,259,2.5
20089,1143,1111,0,9,32,2.8
20091,352969,344449,1,1,8520,2.4
20093,1952,1913,0,9,39,2
20095,3304,3215,0,8,89,2.7
20097,1185,1155,0,9,30,2.5
20099,9384,9108,0,7,276,2.9
20101,704,685,0,9,19,2.7
20103,37723,36702,1,1,1021,2.7
20105,1641,1606,0,9,35,2.1
20107,4394,4224,1,1,170,3.9
20109,1636,1607,0,9,29,1.8
20111,16840,16400,0,4,440,2.6
20113,17596,17250,0,7,346,2
20115,5945,5799,0,8,146,2.5
20117,5300,5187,0,8,113,2.1
20119,2095,2051,0,9,44,2.1
20121,18198,17730,1,1,468,2.6
20123,3321,3256,0,9,65,2
20125,14732,14293,0,7,439,3
